ACCIONA,134.700,0.00,0.00,15.42,135.700,134.500,1658,7389,09:13
ACERINOX,11.520,-0.04,-0.00,33.19,11.535,11.505,23721,3117,09:14
ACS,25.600,-0.43,-0.11,-4.15,25.720,25.560,19182,7953,09:14
AENA,143.300,-0.97,-1.40,0.77,144.850,143.150,5768,21495,09:15
ALMIRALL,14.060,-0.42,-0.06,30.56,14.080,14.050,9064,2504,09:14
AMADEUS IT GROUP,63.440,0.22,0.14,6.51,63.520,63.300,15097,28580,09:15
ARCELORMITTAL,27.530,-0.07,-0.02,44.51,27.530,27.285,21166,30360,09:14
BANCO SABADELL,0.644,0.50,0.00,81.92,0.649,0.641,682405,3624,09:14
BANKINTER,4.681,0.04,0.00,37.06,4.681,4.670,26008,4208,09:12
BBVA,5.237,-0.23,-0.01,31.54,5.237,5.222,265839,34920,09:15
CAIXABANK,2.861,-0.35,-0.01,37.45,2.869,2.856,154993,23062,09:13
CELLNEX TELECOM,49.840,1.03,0.51,9.54,49.840,49.460,43163,33858,09:15
CIE AUTOMOTIVE,25.380,-0.47,-0.12,16.33,25.500,25.320,5163,3110,09:14
COLONIAL,9.200,-0.11,-0.01,14.64,9.225,9.190,9572,4675,09:10
ENAGAS,19.300,0.08,0.01,7.43,19.355,19.290,15087,5056,09:15
ENDESA,21.860,-0.73,-0.16,-2.19,22.020,21.820,72914,23144,09:14
FERROVIAL,24.540,-0.20,-0.05,9.47,24.580,24.490,18665,18340,09:15
FLUIDRA,32.350,-1.97,-0.65,54.42,32.650,32.050,23549,6329,09:14
GRIFOLS,22.030,0.55,0.12,-7.75,22.150,21.910,52509,9388,09:15
IAG,2.408,-0.82,-0.02,34.45,2.439,2.396,2084581,11971,09:15
IBERDROLA,10.760,-0.14,-0.01,-6.76,10.795,10.750,224030,69059,09:15
INDITEX,31.720,-0.22,-0.07,23.26,31.940,31.720,51566,98860,09:15
INDRA,7.200,-0.35,-0.03,3.15,7.210,7.185,24250,1272,09:13
MAPFRE,1.877,0.03,0.00,22.67,1.878,1.873,90504,5780,09:14
MELIÁ HOTELS,7.168,1.10,0.08,25.31,7.178,7.080,202930,1580,09:15
MERLIN PROP,9.490,-0.36,-0.03,26.14,9.534,9.458,10125,4458,09:13
NATURGY,21.390,-0.05,-0.01,16.24,21.430,21.370,8982,20740,09:15
PHARMA MAR,73.960,0.93,0.68,4.85,74.040,73.200,5788,1358,09:14
RED ELÉCTRICA,16.525,-0.36,-0.06,0.10,16.570,16.510,21580,8941,09:15
REPSOL,11.336,0.23,0.03,37.41,11.388,11.298,147200,17315,09:15
SANTANDER,3.489,0.39,0.01,38.64,3.489,3.464,631482,60493,09:15
SIEMENS GAMESA,25.850,-0.08,-0.02,-21.88,26.090,25.760,22607,17608,09:15
SOLARIA,15.350,0.13,0.02,-35.07,15.580,15.345,41002,1918,09:15
TELEFÓNICA,3.855,0.47,0.02,24.95,3.857,3.838,850633,20985,09:15
VISCOFAN,57.200,0.00,0.00,-1.04,57.250,57.100,1443,2660,09:10
